new_idx,0,logit_min,logit_overall_average,logit_active_average,logit_overall_average_last_year,logit_active_average_last_year,predicted_value,predicted_condition,predicted_oa_actual,predicted_condition_actual,percentage_unormalized,percentage_normalized,0,variables,logit_average_used
Intercept,0.7431940190372794,1.0,1.0,1.0,1.0,1.0,0.7416036809699489,0.7408036771176174,77804.27692760449,77496.50605120556,0.003971416159014481,72.88823286989711,2.557843059444945e-08,Intercept,1.0
tv_grp_brand_hero_passion,0.0957047719734744,0.5,0.559838112597604,0.6097032064289406,0.5810290947536335,0.6080387930048446,0.7416036809699489,0.7245503352171083,77804.27692760449,71371.20470552334,0.09013540192608371,6.596005648828871,0.06613830809218607,tv_grp_brand_hero_passion,0.6097032064289406
print_spend_in_cr_brand_hero_passion,0.17027464322328456,0.5,0.5758701353393488,0.5863349815930522,0.5213643348942207,0.5233065471573317,0.7416036809699489,0.7203487973847031,77804.27692760449,69824.89669718953,0.11427700731186517,8.362660726563995,0.006522296773003798,print_spend_in_cr_brand_hero_passion,0.5863349815930522
ooh_spends_in_cr_brand_hero_passion,0.1536132490690179,0.5,0.5489254942497563,0.6793934789157734,0.5,,0.7416036809699489,0.7275338514391364,77804.27692760449,72478.12637181429,0.07348631680221611,5.377644636638344,0.008992309099549676,ooh_spends_in_cr_brand_hero_passion,0.5489254942497563
digital_web_visit_brand_passion,0.18402607450327751,0.5,0.5772214897350427,0.6213480552979243,0.5466934530862219,0.5622579374482959,0.7416036809699489,0.720838687949914,77804.27692760449,70004.45412932799,0.11141895034088696,8.153511385434896,0.005310930778472312,digital_web_visit_brand_passion,0.5772214897350427
print_spend_in_cr_brand_hero_splendor,0.05500451047085572,0.5,0.6079663145449088,0.6549081904339996,0.589084833118269,0.678169666236538,0.7416036809699489,0.7291108212942639,77804.27692760449,73066.26215434284,0.06484545169770987,4.745316008572416,0.2742374914856899,print_spend_in_cr_brand_hero_splendor,0.6079663145449088
competition_tv_grp_bajaj_platina,-0.1914267402997203,0.5,0.6265962145696501,0.7457455929881442,0.6585840701284101,0.7718584059344173,0.7416036809699489,0.7592833562625011,77804.27692760449,84773.10361829861,-0.08220563354707565,-6.015714266040844,0.0023223263763246407,competition_tv_grp_bajaj_platina,0.6265962145696501
competition_print_spend_in_cr_bajaj_platina,-0.13627316598353678,0.5,0.5258505079981641,0.6706133527878834,0.5459225866601736,0.7755355199610414,0.7416036809699489,0.7385721861403416,77804.27692760449,76641.2715899053,0.015174661296360447,1.1104643624037953,0.052878532005803607,competition_print_spend_in_cr_bajaj_platina,0.5258505079981641
competition_print_spend_in_cr_tvs_star,-0.15172658139192202,0.5,0.6326050818733835,0.6508954379938502,0.6391482158840386,0.6669778590608463,0.7416036809699489,0.7551691713209935,77804.27692760449,83121.53961122927,-0.06396973285738378,-4.681231905166369,0.03031878831191695,competition_print_spend_in_cr_tvs_star,0.6326050818733835
dummy_festival,0.05392710616059482,0.5,0.6081172008993259,0.8567867629677753,0.5891966907419437,0.8567867629677748,0.7416036809699489,0.7292190078024647,77804.27692760449,73106.68931687025,0.06425660434947653,4.702224832938339,0.17690425255910047,dummy_festival,0.6081172008993259
dummy_december,-0.23790455156464996,0.5,0.5421130299050229,0.9632433289552509,0.5386036107462709,0.9632433289552518,0.7416036809699489,0.7450683370677322,77804.27692760449,79144.40394383446,-0.016932681901060374,-1.2391143000705467,7.886478014799632e-05,dummy_december,0.5421130299050229
