,min,overall_average,active_average,overall_average_last_year,active_average_last_year,non_zero,max_last_year,max,min_last_year,total_sum_last_year,total_sum_last_year_absolute,non_zero_last_year,total_sum,total_sum_absolute,k_value,var_names
competition_tv_grp_bajaj_platina_adstock_1,0.5,0.6316349629162081,0.6497915095253404,0.66530874414962,0.66530874414962,29,0.8921064957293511,0.8921064957293511,0.5000493172116558,7.983704929795441,2808.625525815676,12,20.84395377623487,6064.3908351924,291.3390266376286,competition_tv_grp_bajaj_platina_adstock_1
competition_tv_grp_tvs_radeon_adstock_1,0.5,0.5597943101850997,0.6517855566237147,0.6314217002227046,0.6314217002227046,13,0.9818047636956709,0.9818047636956709,0.5001315417425747,7.577060402672456,1188.5976522445633,12,18.473212236108292,1451.0376522445633,121.7717336198339,competition_tv_grp_tvs_radeon_adstock_1
competition_tv_grp_tvs_star_adstock_1,0.5000000356411987,0.5988705264897669,0.5988705264897669,0.5697253177656063,0.5697253177656063,33,0.9215656948261747,0.9595782427594225,0.5000000356411987,6.836703813187276,343.9332987795704,12,19.762727374162306,1259.157332623462,74.68912072954934,competition_tv_grp_tvs_star_adstock_1
competition_tv_grp_tvs_victor_adstock_1,0.5,0.5565259956316698,0.5582924329951595,0.5000000000128483,0.5000000000128483,32,0.5000000001445427,0.9715890786121834,0.5,6.000000000154179,6.396476323362367e-08,12,18.365357855845104,1200.821333333329,103.71842429973029,competition_tv_grp_tvs_victor_adstock_1
competition_tv_spend_in_cr_bajaj_discover_adstock_1,0.5,0.5550905754685446,0.579042999585303,0.5000000000410855,0.5000000000410855,23,0.5000000004622114,0.9821560107055853,0.5,6.000000000493026,4.10363280844342e-09,12,18.31798899046197,23.570997148206658,2.0808420458295886,competition_tv_spend_in_cr_bajaj_discover_adstock_1
competition_tv_spend_in_cr_bajaj_platina_adstock_1,0.5,0.6034255952255622,0.617691194567019,0.6642699625824106,0.6642699625824106,29,0.9835057521246178,0.9835057521246178,0.5000589062237687,7.971239550988926,35.69798863460121,12,19.913044642443552,56.855495362092434,3.296905646960719,competition_tv_spend_in_cr_bajaj_platina_adstock_1
competition_tv_spend_in_cr_tvs_radeon_adstock_1,0.5,0.576291161824144,0.6936621800151348,0.6718737467947982,0.6718737467947982,13,0.9510674066215614,0.9551233786591715,0.5026753155874183,8.062484961537578,14.100952521229791,12,19.01760834019675,18.015047521229793,1.279984583782689,competition_tv_spend_in_cr_tvs_radeon_adstock_1
competition_tv_spend_in_cr_tvs_star_adstock_1,0.5000007793741357,0.5855519164194445,0.5855519164194445,0.5656172147221202,0.5656172147221202,33,0.7497556637631592,0.9889579326544526,0.5000007793741357,6.787406576665443,3.7305701845504786,12,19.323213241841668,16.264931240809492,1.0867236326582685,competition_tv_spend_in_cr_tvs_star_adstock_1
competition_tv_spend_in_cr_tvs_victor_adstock_1,0.5000000000000001,0.5527472759205745,0.5527472759205745,0.5000028101386613,0.5000028101386613,33,0.5000316116859127,0.9837733453295733,0.5000000000000001,6.000033721663936,0.00022401682230415912,12,18.240660105378957,18.252488986452995,1.6607782348295248,competition_tv_spend_in_cr_tvs_victor_adstock_1
ooh_spends_in_cr_competitor_honda_dream_adstock_1,0.5000000000000452,0.5789518225340785,0.5789518225340785,0.6060725935288397,0.6060725935288397,33,0.6677950155962044,0.9844950995117754,0.5003292330537077,7.272871122346077,0.13199856836962234,12,19.105410143624592,0.3595977871196223,0.02520494258850386,ooh_spends_in_cr_competitor_honda_dream_adstock_1
